s.no.,Place name,Category/Vibe,Budget_Level,Entry_Fee,Avg_Expense,Time_Needed_hr,Best_Time_to_Visit,Description,Latitude,Longitude
14,Pulicat Lake & Bird Sanctuary,"Adventure, Natural, Scenic",Medium,20-50,400-600,Half-day,Morning,"Second-largest brackish water lagoon in India, migratory birds hotspot.",13.4193605416375,80.3184754153415
15,Vedanthangal Bird Sanctuary,"Natural, Birdwatching, Adventure",Medium,50-100,300-500,Half-day,Morning,"Oldest bird sanctuary in India, famous for migratory birds in winter.",12.5457319893765,79.8560372134938
16,"Government Museum, Egmore","Cultural, Historical, Educational",Medium,15-50,100-200,Half-day,Morning,"India’s second-oldest museum, with archaeology, art, and bronze galleries.",13.0700149217142,80.2570570575346
17,DakshinaChitra Museum (ECR),"Cultural, Heritage, Educational",Medium,150-200,300-500,Half-day,Morning/afternoon,"Heritage museum showcasing South Indian arts, crafts, architecture.",12.8232196702022,80.2417786865062
18,Cholamandal Artists’ Village,"Cultural, Artistic, Offbeat",Medium,20-50,200-400,2-3 hr,Morning/Evening,Artists’ commune with galleries and exhibitions of modern art.,12.9241247007176,80.2558754949054
19,Birla Planetarium,"Educational, Family, Science",Medium,50-100,200-400,2-3 hr,Morning/afternoon,"Science museum with planetarium shows, space and astronomy exhibits.",13.3243594459858,80.2582399501798
20,Mahabalipuram Shore Temple & Monuments (UNESCO site),"Historical, Cultural, UNESCO",Medium,40-100,300-500,Full-day,Morning/Evening,"Mahabalipuram Beach, Five Rathas, Crocodile Bank",12.6167794047057,80.1987945865062
21,Sandy’s Chocolate Laboratory,"Foodie, Fun, Youthful",Medium,0,500-800,2-3 hr,Afternoon/Evening,Popular dessert café known for chocolate-themed dishes and fun vibes.,13.0633538655108,80.2482989295933
22,Radisson Blu Resort Temple Bay Mamallapuram,"Romantic, Foodie, Youthful",High,0,10000-20000,Full-day,Evening/Night,"A luxurious beachfront resort with private villas, sea views, fine dining, a spa, and water sports—perfect for a romantic and youthful getaway.",12.6240614673303,80.1948094153416
23,Starbucks Marina Mall,"Foodie, Youthful, Hangout",Medium,0,400-700,2-3 hr,Anytime,International coffeehouse popular for casual meetups and work vibe.,12.8362994178696,80.2294058018477
24,Kapaleeshwarar Temple (Mylapore),"Cultural, Spiritual, Peaceful",Low,0,100-200,2-3 hr,Morning/Evening,"Dravidian-style Hindu temple dedicated to Lord Shiva, iconic Chennai landmark.",13.0339672058653,80.2697742711646
25,Parthasarathy Temple (Triplicane),"Cultural, Spiritual, Historical",Low,0,100-200,2-3 hr,Morning/Evening,"Ancient Vaishnavite temple, one of the oldest in Chennai.",13.0540680894963,80.2769882865062
26,ISKCON Temple (Sholinganallur),"Spiritual, Cultural, Peaceful",Medium,0-50,200-300,2-3 hr,Evening,"Modern temple with spiritual programs, bhajans, and food court.",12.906458191477,80.2418842134938
27,Ashtalakshmi Temple (Besant Nagar),"Spiritual, Peaceful, Cultural",Low,0,100-200,2-3 hr,Evening,"Unique temple by the beach, dedicated to Goddess Lakshmi in eight forms.",12.9928443457462,80.2704223865062
28,Thiruvanmiyur Marundeeswarar Temple,"Cultural, Spiritual, Historical",Low,0,100-200,2-3 hr,Morning/Evening,"Historic temple dedicated to Lord Shiva, important pilgrimage site.",12.9851052987443,80.2600357
29,Phoenix Marketcity,"Fun, Shopping, Foodie",High,0,600-1200,Half-day,Afternoon/Evening,"Biggest mall in Chennai, with luxury brands, multiplex, and food court.",12.9952816194078,80.2178573710965
30,Express Avenue Mall,"Fun, Shopping, Youthful",High,0,500-1000,Half-day,Afternoon/Evening,"Large mall with brands, multiplex, and dining options, centrally located.",13.0586740790666,80.264238044177
31,Forum Vijaya Mall,"Fun, Shopping, Family",Medium,0,400-800,2-3 hr,Afternoon/Evening,Popular mall in Vadapalani with food courts and multiplex.,13.0501340901527,80.2095447153416
32,T. Nagar – Pondy Bazaar,"Shopping, Cultural, Busy",Medium,0,200-600,2-3 hr,Evening,"Famous shopping district for sarees, jewelry, street fashion.",13.0402535997578,80.2362779497202
33,Sowcarpet Market,"Foodie, Shopping, Cultural",Medium,0,200-500,2-3 hr,Evening,Famous for North Indian street food and wholesale markets.,13.100338860887,80.2755241301382
34,Spencer Plaza,"Shopping, Historical, Budget",Medium,0,200-600,2-3 hr,Afternoon,"One of India’s oldest malls, known for budget shopping.",13.0616470789516,80.2613238576708
35,MGM Dizzee World (ECR),"Fun, Adventure, Family",High,700-1000,800-1200,Full-day,Morning/Evening,Popular amusement park with water rides and theme park attractions.,12.8270934885439,80.240514644177
36,Queensland Amusement Park,"Fun, Family, Adventure",High,750-1000,800-1200,Half-day,Morning/Evening,"Amusement park with thrill rides, roller coasters, and water games.",13.0303177197655,80.027667044177
37,Kishkinta Theme Park,"Fun, Family, Water Rides",Medium,600-800,700-1000,Half-day,Morning/Evening,Water and amusement theme park popular among kids and families.,12.9369415823497,80.0785732116461
38,Ritchie Street (Electronics Market),"Market, Tech, Shopping",Medium,0,500-10000,Half-day,Daytime,"Chennai’s largest electronics hub, known as “Mini-Lamington Road,” selling gadgets, parts, repairs.",13.0694357732376,80.2704882288354
39,George Town & Parry’s Corner,"Heritage, Shopping, Hustling",Low,0,200-2000,2-3 hr,Morning/Evening,"Bustling old commercial hub with wholesale shops, colonial architecture, and heritage charm.",13.0900110504865,80.2880435251399
40,Music Academy (Mylapore),"Arts, Cultural, Classical",Medium,,200-2000,2-3 hr,December–January (Margazhi season),"Premier center for Carnatic music & dance, especially famous during the December Music Festival.",13.0462449631091,80.2594825232922
41,Broken Bridge (Adyar Estuary),"Scenic, Offbeat, Isolated",Low,0,200-400,2-3 hr,Morning/Evening,"Abandoned bridge at Adyar estuary, now a serene viewpoint for photography & nature lovers.",13.0135668472872,80.2761242627172
42,Santhome Cathedral Basilica (Mylapore),"Church, Heritage, Spiritual",Low,0,200-400,2-3 hr,Morning/Evening,"Neo-Gothic cathedral built over St. Thomas’s tomb, one of only 3 such basilicas worldwide.",13.0338674632788,80.2777108576708
43,Fort St. George & Museum,"Heritage, Historical, Monumental",Low,15-200,200-400,2-3 hr,Morning/afternoon,"First English fortress in India (1644), houses a museum with colonial relics and historic artifacts.",13.0808891106584,80.2876614153416
44,Green Meadows Resort (ECR),"Relaxing, Heritage, Resort",Medium,500,1500-4000,Half-day,October-march,"Resort with greenery, old-style bungalows, pool & cultural events.",12.9611928653607,80.2605992932525
45,Ideal Beach Resort (Mahabalipuram),"Beach Resort, Relaxing,",High,750,2000-5000,Full-day,Novenber-february,"Private beach, spa, pool, ideal for family or couple outings.",12.6494451370639,80.2057591644175
46,MGM Beach Resort (ECR),"Fun, Luxury, Beach Resort",High,600-800,2000-6000,Full-day,Novenber-february,"Popular beach resort with water activities, pool & beachside cottages.",12.8272176996369,80.2403486490776
47,Blue Bay Beach Resort (ECR),"Calm, Natural, Beach Resort",Medium,500,1500-3000,Half-day,October-march,"Quiet resort with hammocks, boating & private beach.",12.7463999110454,80.2399128932525
48,Chariot Beach Resort (Mahabalipuram),"Adventure, Luxury, Beach Resort",High,750,2500-6000,Full-day,Novenber-february,"Luxury resort with ATV rides, private beach, and spa.",12.6072373136789,80.1888187509224
49,Covelong Surfing Village (Kovalam),"Adventure, Surfing, Fun",Medium,500,1000-3000,Half-day,Novenber-february,Surfing & kayaking hub with village vibe and festivals.,12.7872776315546,80.254250280304
50,Sadras Dutch Fort,"Historical, Heritage, Classical",Low,0,200-500,2-3 hr,Morning/Evening,Quiet Dutch-era fort ruins by the sea near Kalpakkam.,12.5258758429598,80.1636425220875
51,Alamparai Fort (ECR),"Historical, Heritage, Cultural",Low,0,200-500,2-3 hr,Morning/Evening,"Ruined fort partly submerged, scenic & offbeat.",12.2665334687556,80.0101284914076
52,Ubbalamadugu (Tada) Waterfalls,"Trekking,Natural, Adventure",Medium,0,500-1000,Half-day,July-february,Trekking trail to waterfalls on TN-AP border,13.6047381575967,79.8438638437362
53,Nagari Hills (AP Border),"Trekking, Hill Views, Fun",Medium,0,500-1000,Full-day,Novenber-february,"Hill station feel with panoramic views, ~80 km from Chennai.",13.5330576079244,79.6576490539802
54,Theosophical Society & Adyar Banyan,"Peaceful, Natural, Spiritual",Low,0,200-300,2-3 hr,Morning/afternoon,"Ancient banyan tree, gardens & spiritual retreat.",13.0115735937408,80.2596438567927
55,Madhavaram Botanical Garden,"Scenic, Educational, Natural",Low,20,100-300,2-3 hr,Morning/Evening,"Theme-based gardens, a calm nature escape in city.",13.1493981794,80.2430129653912
56,Tholkappia Poonga (Adyar Eco Park),"Restricted, Eco Park, Scenic",Low,0,200-300,2-3 hr,Morning/afternoon,"Eco-restoration park, requires advance permission.",13.0194737321217,80.2647269509224
57,Royapuram Fishing Harbour,"Rustic, Local Life, Classical",Low,0,200-300,2-3 hr,Morning/Evening,"Oldest harbour in India, bustling fish market mornings.",13.1191,80.2937
58,Alamparai Beach (near fort),"Serene Beach, Classical, Offbeat",Low,0,200-300,2-3 hr,Morning/afternoon,Secluded beach stretch next to Alamparai Fort.,12.2653330147415,80.0117238355825
